Year ,Month ,New,Used,Total Sales New,Total Sales Used
2011,JUL,23154,50549,662962907,447965139
2011,AUG,24875,56055,733038484,492531070
2011,SEP,24945,50389,736524414,447044465
2011,OCT,22996,49497,685279242,443101644
2011,NOV,22177,47040,684647259,429841495
2011,DEC,22512,43874,710741092,415418423
2012,JAN,25223,46367,775943607,419503746
2012,FEB,21783,53216,653555445,427637684
2012,MAR,28280,62426,790798381,513936240
2012,APR,27467,56913,766243639,493881213
2012,MAY,29390,55096,822158205,489914146
2012,JUN,29662,53148,847168622,487154088
2012,JUL,26593,52146,791818346,468241971
2012,AUG,28765,56079,851322732,514215353
2012,SEP,26671,50566,777860867,453896775
2012,OCT,27300,53460,815238036,479430068
2012,NOV,22996,46673,692717590,429661696
2012,DEC,22632,41588,700168869,404654091
2013,JAN,27083,46843,842788566,453614704
2013,FEB,21639,47884,666540837,411525315
2013,MAR,29606,60740,876674543,516055403
2013,APR,31273,60899,890714636,534686074
2013,MAY,32103,59114,905273123,548815730
2013,JUN,31181,53038,893995360,487560735
2013,JUL,31348,58276,935844662,543294518
2013,AUG,28407,56801,846084877,536010618
2013,SEP,28654,54525,873865855,508508353
2013,OCT,27106,55433,876865110,525502076
2013,NOV,23235,47181,743865185,460464879
2013,DEC,23574,44021,760977262,450091642
2014,JAN,26792,44887,866726180,460264339
2014,FEB,20202,46154,629593928,420312854
2014,MAR,25318,58015,778419410,530709741
2014,APR,29820,61277,901354171,565840381
2014,MAY,31504,56649,930989023,533756933
2014,JUN,32620,58619,964450549,567571137
2014,JUL,33299,60001,1024912743,597775943
2014,AUG,30982,56517,967003330,544939982
2014,SEP,32431,59261,1015189704,568777644
2014,OCT,29250,59014,923842238,583891303
2014,NOV,22582,46000,723803223,456675447
2014,DEC,26419,50072,850948572,514628809
2015,JAN,28889,48465,974532500,512446033
2015,FEB,22430,51038,709556549,484053250
2015,MAR,27428,61346,834375096,575005263
2015,APR,32240,64350,988046475,632625988
2015,MAY,29626,57563,898866880,558692764
2015,JUN,34695,54124,1051510311,581809219
2015,JUL,34179,62920,1062988492,650454487
2015,AUG,30125,61268,958163037,618794306
2015,SEP,32154,62182,1035533325,632452008
2015,OCT,30552,62954,991747766,653329361
2015,NOV,25828,54354,858213639,568019044
2015,DEC,29062,56592,969641175,621925235
2016,JAN,25835,45285,878106665,518918140
2016,FEB,24257,58184,813473347,581005001
2016,MAR,30675,73163,988609546,723865536
2016,APR,29787,66793,943502901,693293383
2016,MAY,31525,65659,1018042636,712783380
2016,JUN,34366,68750,1094447550,751886189
2016,JUL,29636,62545,960502273,691521741
2016,AUG,29945,70887,994401467,780694327
2016,SEP,28544,66056,976643490,742588270
2016,OCT,27082,61678,907244735,685808210
2016,NOV,25381,58037,857844856,641353419
2016,DEC,26205,56234,926735097,655654762
2017,JAN,28827,56583,1000285431,674078790
2017,FEB,22413,55989,776222008,592255229
2017,MAR,27838,72717,926703144,744746293
2017,APR,26135,62740,867722291,654981615
2017,MAY,28931,68296,937804113,718689038
2017,JUN,31835,67827,1019153457,720739448
2017,JUL,28331,62372,906844054,657619227
2017,AUG,29644,69737,999821400,751224882
2017,SEP,28175,59925,955788877,643188965
2017,OCT,27886,63917,967866431,696489631
2017,NOV,24970,57147,861135057,641563065
2017,DEC,24944,51261,868882914,578032505
2018,JAN,28607,55276,1020767142,652390067
2018,FEB,21448,54539,738782711,584178507
2018,MAR,26914,67288,894044008,707459045
2018,APR,26729,66047,912292887,700677043
2018,MAY,30967,67515,974812847,727531733
2018,JUN,31779,64600,1051832066,729899558
2018,JUL,30342,67117,1022752575,759245612
2018,AUG,30188,69867,1064196448,785536949
2018,SEP,27180,58483,936629687,672015932
2018,OCT,28879,66603,1009595823,769511706
2018,NOV,24846,57480,877595733,678286668
2018,DEC,26350,53781,953848511,637432990
2019,JAN,31090,58907,1132044244,728500177
2019,FEB,21694,52578,763740318,611220842
2019,MAR,26485,67022,912994576,726850233
2019,APR,30044,70469,1031766223,789665397
2019,MAY,29396,69242,998392416,803918059
2019,JUN,29142,63122,1023455424,745753203
2019,JUL,30821,68577,1101287239,825296531
2019,AUG,28399,67159,1012102960,793732403
2019,SEP,29591,62846,1068228890,744093843
2019,OCT,28967,66581,1055208739,819198662
2019,NOV,23573,55334,868580552,685903924
2019,DEC,24839,55489,920768845,695161427
2020,JAN,27704,57577,1045539743,727641906
2020,FEB,22344,55032,802833375,660514435
2020,MAR,23873,58963,853033479,734371921
2020,APR,13700,29420,495796657,372792902
2020,MAY,14835,37572,518292774,403317249
2020,JUN,23704,63395,821297823,699671992
2020,JUL,26190,61905,995093228,746109876
2020,AUG,27372,59328,1033767509,696083170
2020,SEP,27733,54035,1063945651,649440784
2020,OCT,24777,49328,937336920,596988709
2020,NOV,25187,46598,966657333,613844483
2020,DEC,28061,44427,1256023978,620534357
2021,JAN,21674,47934,834312337,622526750
2021,FEB,20579,42306,797908033,556318165
2021,MAR,34794,66410,1267127282,848644184
2021,APR,32730,63931,1213808079,863507284
2021,MAY,33788,60551,1295819889,842208559
2021,JUN,28039,55978,1120989909,839454924
2021,JUL,25779,57859,1048930976,862659646
2021,AUG,23233,57280,994080847,855687944
2021,SEP,20975,54004,902795955,832349702
2021,OCT,20843,52045,905018365,821046399
2021,NOV,20511,47276,909588132,844991836
2021,DEC,22677,42812,1028505727,743190343
2022,JAN,19160,40497,847214025,694097721
2022,FEB,21769,46442,938361276,809993384
2022,MAR,26148,57453,1121118314,934785809
2022,APR,23756,51670,980797747,879511928
2022,MAY,23162,51373,990610106,899660891
2022,JUN,22954,47829,1009601998,815244816
2022,JUL,22001,49295,975230778,832744192
2022,AUG,22594,49861,1040810389,827552546
2022,SEP,22941,48298,1096319386,838767438
2022,OCT,22255,47325,1060091844,804805365
2022,NOV,21117,43345,993531237,734729853
2022,DEC,23025,40906,1120587035,718545405
2023,JAN,21037,45543,992034915,762502754
2023,FEB,20893,44320,960384917,712901541
2023,MAR,28023,53557,1245687446,872419947
2023,APR,25918,48230,1136414635,775889223
2023,MAY,28372,51416,1234582275,855515371
2023,JUN,27001,50613,1214340987,814275863
2023,JUL,26360,49502,1196918451,887723892
2023,AUG,25876,52725,1222581892,908454060
2023,SEP,23892,45386,1134437699,744676584
2023,OCT,23775,45473,1122680147,740582533
2023,NOV,22720,42260,1062465105,694190564
2023,DEC,26010,40556,1233234965,674734577
